,tid,name,aid,mtid,gid,u_price
2819,2820,Occupation / Precipice,227,3,19,1.99
2820,2821,"Exodus, Pt. 1",227,3,19,1.99
2821,2822,"Exodus, Pt. 2",227,3,19,1.99
2822,2823,Collaborators,227,3,19,1.99
2823,2824,Torn,227,3,19,1.99
2836,2837,"Crossroads, Pt. 1",227,3,20,1.99
2837,2838,"Crossroads, Pt. 2",227,3,20,1.99
2838,2839,Genesis,228,3,19,1.99
2839,2840,Don't Look Back,228,3,21,1.99
2840,2841,One Giant Leap,228,3,21,1.99
2841,2842,Collision,228,3,21,1.99
2842,2843,Hiros,228,3,21,1.99
2843,2844,Better Halves,228,3,21,1.99
2844,2845,Nothing to Hide,228,3,19,1.99
2845,2846,Seven Minutes to Midnight,228,3,21,1.99
2846,2847,Homecoming,228,3,21,1.99
2847,2848,Six Months Ago,228,3,19,1.99
2848,2849,Fallout,228,3,21,1.99
2849,2850,The Fix,228,3,21,1.99
2850,2851,Distractions,228,3,21,1.99
2851,2852,Run!,228,3,21,1.99
2852,2853,Unexpected,228,3,21,1.99
2853,2854,Company Man,228,3,21,1.99
2854,2855,Company Man,228,3,21,1.99
2855,2856,Parasite,228,3,21,1.99
2856,2857,A Tale of Two Cities,229,3,19,1.99
2857,2858,"Lost (Pilot, Part 1) [Premiere]",230,3,19,1.99
2858,2859,"Man of Science, Man of Faith (Premiere)",231,3,19,1.99
2859,2860,Adrift,231,3,19,1.99
2860,2861,"Lost (Pilot, Part 2)",230,3,19,1.99
2861,2862,The Glass Ballerina,229,3,21,1.99
2862,2863,Further Instructions,229,3,19,1.99
2863,2864,Orientation,231,3,19,1.99
2864,2865,Tabula Rasa,230,3,19,1.99
2865,2866,Every Man for Himself,229,3,21,1.99
2866,2867,Everybody Hates Hugo,231,3,19,1.99
2867,2868,Walkabout,230,3,19,1.99
2868,2869,...And Found,231,3,19,1.99
2869,2870,The Cost of Living,229,3,19,1.99
2870,2871,White Rabbit,230,3,19,1.99
2871,2872,Abandoned,231,3,19,1.99
2872,2873,House of the Rising Sun,230,3,19,1.99
2873,2874,I Do,229,3,19,1.99
2874,2875,Not In Portland,229,3,21,1.99
2875,2876,Not In Portland,229,3,21,1.99
2876,2877,The Moth,230,3,19,1.99
2877,2878,The Other 48 Days,231,3,19,1.99
2878,2879,Collision,231,3,19,1.99
2879,2880,Confidence Man,230,3,19,1.99
2880,2881,Flashes Before Your Eyes,229,3,21,1.99
2881,2882,Lost Survival Guide,229,3,21,1.99
2882,2883,Solitary,230,3,19,1.99
2883,2884,What Kate Did,231,3,19,1.99
2884,2885,Raised By Another,230,3,19,1.99
2885,2886,Stranger In a Strange Land,229,3,21,1.99
2886,2887,The 23rd Psalm,231,3,19,1.99
2887,2888,All the Best Cowboys Have Daddy Issues,230,3,19,1.99
2888,2889,The Hunting Party,231,3,21,1.99
2889,2890,Tricia Tanaka Is Dead,229,3,21,1.99
2890,2891,Enter 77,229,3,21,1.99
2891,2892,Fire + Water,231,3,21,1.99
2892,2893,Whatever the Case May Be,230,3,19,1.99
2893,2894,Hearts and Minds,230,3,19,1.99
2894,2895,Par Avion,229,3,21,1.99
2895,2896,The Long Con,231,3,19,1.99
2896,2897,One of Them,231,3,21,1.99
2897,2898,Special,230,3,19,1.99
2898,2899,The Man from Tallahassee,229,3,21,1.99
2899,2900,Exposé,229,3,21,1.99
2900,2901,Homecoming,230,3,19,1.99
2901,2902,Maternity Leave,231,3,21,1.99
2902,2903,Left Behind,229,3,21,1.99
2903,2904,Outlaws,230,3,19,1.99
2904,2905,The Whole Truth,231,3,21,1.99
2905,2906,...In Translation,230,3,19,1.99
2906,2907,Lockdown,231,3,21,1.99
2907,2908,One of Us,229,3,21,1.99
2908,2909,Catch-22,229,3,21,1.99
2909,2910,Dave,231,3,19,1.99
2910,2911,Numbers,230,3,19,1.99
2911,2912,D.O.C.,229,3,21,1.99
2912,2913,Deus Ex Machina,230,3,19,1.99
2913,2914,S.O.S.,231,3,19,1.99
2914,2915,Do No Harm,230,3,19,1.99
2915,2916,Two for the Road,231,3,21,1.99
2916,2917,The Greater Good,230,3,19,1.99
2917,2918,"""?""",231,3,19,1.99
2918,2919,Born to Run,230,3,19,1.99
2919,2920,Three Minutes,231,3,19,1.99
2920,2921,Exodus (Part 1),230,3,19,1.99
2921,2922,"Live Together, Die Alone, Pt. 1",231,3,21,1.99
2922,2923,Exodus (Part 2) [Season Finale],230,3,19,1.99
2923,2924,"Live Together, Die Alone, Pt. 2",231,3,19,1.99
2924,2925,Exodus (Part 3) [Season Finale],230,3,19,1.99
3164,3165,The Brig,229,3,21,1.99
3165,3166,.07%,228,3,21,1.99
3166,3167,Five Years Gone,228,3,21,1.99
3167,3168,The Hard Part,228,3,21,1.99
3168,3169,The Man Behind the Curtain,229,3,21,1.99
3169,3170,Greatest Hits,229,3,21,1.99
3170,3171,Landslide,228,3,21,1.99
3171,3172,The Office: An American Workplace (Pilot),249,3,19,1.99
3172,3173,Diversity Day,249,3,19,1.99
3173,3174,Health Care,249,3,19,1.99
3174,3175,The Alliance,249,3,19,1.99
3175,3176,Basketball,249,3,19,1.99
3176,3177,Hot Girl,249,3,19,1.99
3177,3178,The Dundies,250,3,19,1.99
3178,3179,Sexual Harassment,250,3,19,1.99
3179,3180,Office Olympics,250,3,19,1.99
3180,3181,The Fire,250,3,19,1.99
3181,3182,Halloween,250,3,19,1.99
3182,3183,The Fight,250,3,19,1.99
3183,3184,The Client,250,3,19,1.99
3184,3185,Performance Review,250,3,19,1.99
3185,3186,Email Surveillance,250,3,19,1.99
3186,3187,Christmas Party,250,3,19,1.99
3187,3188,Booze Cruise,250,3,19,1.99
3188,3189,The Injury,250,3,19,1.99
3189,3190,The Secret,250,3,19,1.99
3190,3191,The Carpet,250,3,19,1.99
3191,3192,Boys and Girls,250,3,19,1.99
3192,3193,Valentine's Day,250,3,19,1.99
3193,3194,Dwight's Speech,250,3,19,1.99
3194,3195,Take Your Daughter to Work Day,250,3,19,1.99
3195,3196,Michael's Birthday,250,3,19,1.99
3196,3197,Drug Testing,250,3,19,1.99
3197,3198,Conflict Resolution,250,3,19,1.99
3198,3199,Casino Night - Season Finale,250,3,19,1.99
3199,3200,Gay Witch Hunt,251,3,19,1.99
3200,3201,The Convention,251,3,19,1.99
3201,3202,The Coup,251,3,19,1.99
3202,3203,Grief Counseling,251,3,19,1.99
3203,3204,The Initiation,251,3,19,1.99
3204,3205,Diwali,251,3,19,1.99
3205,3206,Branch Closing,251,3,19,1.99
3206,3207,The Merger,251,3,19,1.99
3207,3208,The Convict,251,3,22,1.99
3208,3209,"A Benihana Christmas, Pts. 1 & 2",251,3,22,1.99
3209,3210,Back from Vacation,251,3,22,1.99
3210,3211,Traveling Salesmen,251,3,22,1.99
3211,3212,Producer's Cut: The Return,251,3,22,1.99
3212,3213,Ben Franklin,251,3,22,1.99
3213,3214,Phyllis's Wedding,251,3,22,1.99
3214,3215,Business School,251,3,22,1.99
3215,3216,Cocktails,251,3,22,1.99
3216,3217,The Negotiation,251,3,22,1.99
3217,3218,Safety Training,251,3,22,1.99
3218,3219,Product Recall,251,3,22,1.99
3219,3220,Women's Appreciation,251,3,22,1.99
3220,3221,Beach Games,251,3,22,1.99
3221,3222,The Job,251,3,22,1.99
3222,3223,How to Stop an Exploding Man,228,3,21,1.99
3223,3224,Through a Looking Glass,229,3,21,1.99
3225,3226,"Battlestar Galactica, Pt. 1",253,3,20,1.99
3226,3227,"Battlestar Galactica, Pt. 2",253,3,20,1.99
3227,3228,"Battlestar Galactica, Pt. 3",253,3,20,1.99
3228,3229,"Lost Planet of the Gods, Pt. 1",253,3,20,1.99
3229,3230,"Lost Planet of the Gods, Pt. 2",253,3,20,1.99
3230,3231,The Lost Warrior,253,3,20,1.99
3231,3232,The Long Patrol,253,3,20,1.99
3232,3233,"The Gun On Ice Planet Zero, Pt. 1",253,3,20,1.99
3233,3234,"The Gun On Ice Planet Zero, Pt. 2",253,3,20,1.99
3234,3235,The Magnificent Warriors,253,3,20,1.99
3235,3236,The Young Lords,253,3,20,1.99
3236,3237,"The Living Legend, Pt. 1",253,3,20,1.99
3237,3238,"The Living Legend, Pt. 2",253,3,20,1.99
3238,3239,Fire In Space,253,3,20,1.99
3239,3240,"War of the Gods, Pt. 1",253,3,20,1.99
3240,3241,"War of the Gods, Pt. 2",253,3,20,1.99
3241,3242,The Man With Nine Lives,253,3,20,1.99
3242,3243,Murder On the Rising Star,253,3,20,1.99
3243,3244,"Greetings from Earth, Pt. 1",253,3,20,1.99
3244,3245,"Greetings from Earth, Pt. 2",253,3,20,1.99
3245,3246,Baltar's Escape,253,3,20,1.99
3246,3247,Experiment In Terra,253,3,20,1.99
3247,3248,Take the Celestra,253,3,20,1.99
3248,3249,The Hand of God,253,3,20,1.99
3249,3250,Pilot,254,3,19,1.99
3250,3251,"Through the Looking Glass, Pt. 2",229,3,21,1.99
3251,3252,"Through the Looking Glass, Pt. 1",229,3,21,1.99
3336,3337,"Past, Present, and Future",261,3,21,1.99
3337,3338,The Beginning of the End,261,3,21,1.99
3338,3339,LOST Season 4 Trailer,261,3,21,1.99
3339,3340,LOST In 8:15,261,3,21,1.99
3340,3341,Confirmed Dead,261,3,21,1.99
3341,3342,The Economist,261,3,21,1.99
3342,3343,Eggtown,261,3,19,1.99
3343,3344,The Constant,261,3,21,1.99
3344,3345,The Other Woman,261,3,21,1.99
3345,3346,Ji Yeon,261,3,19,1.99
3346,3347,Meet Kevin Johnson,261,3,19,1.99
3347,3348,The Shape of Things to Come,261,3,21,1.99
3359,3360,Something Nice Back Home,261,3,21,1.99
3360,3361,Cabin Fever,261,3,21,1.99
3361,3362,"There's No Place Like Home, Pt. 1",261,3,21,1.99
3362,3363,"There's No Place Like Home, Pt. 2",261,3,21,1.99
3363,3364,"There's No Place Like Home, Pt. 3",261,3,21,1.99
3427,3428,Branch Closing,251,3,22,1.99
3428,3429,The Return,251,3,22,1.99
