,aid,title,artid
0,1,For Those About To Rock We Salute You,1
1,2,Balls to the Wall,2
2,3,Restless and Wild,2
3,4,Let There Be Rock,1
4,5,Big Ones,3
5,6,Jagged Little Pill,4
6,7,Facelift,5
7,8,Warner 25 Anos,6
8,9,Plays Metallica By Four Cellos,7
9,10,Audioslave,8
10,11,Out Of Exile,8
11,12,BackBeat Soundtrack,9
12,13,The Best Of Billy Cobham,10
13,14,Alcohol Fueled Brewtality Live! [Disc 1],11
14,15,Alcohol Fueled Brewtality Live! [Disc 2],11
15,16,Black Sabbath,12
16,17,Black Sabbath Vol. 4 (Remaster),12
17,18,Body Count,13
18,19,Chemical Wedding,14
19,20,The Best Of Buddy Guy - The Millenium Collection,15
20,21,Prenda Minha,16
21,22,Sozinho Remix Ao Vivo,16
22,23,Minha Historia,17
23,24,Afrociberdelia,18
24,25,Da Lama Ao Caos,18
25,26,Acústico MTV [Live],19
26,27,Cidade Negra - Hits,19
27,28,Na Pista,20
28,29,Axé Bahia 2001,21
29,30,BBC Sessions [Disc 1] [Live],22
30,31,Bongo Fury,23
31,32,Carnaval 2001,21
32,33,Chill: Brazil (Disc 1),24
33,34,Chill: Brazil (Disc 2),6
34,35,Garage Inc. (Disc 1),50
35,36,Greatest Hits II,51
36,37,Greatest Kiss,52
37,38,Heart of the Night,53
38,39,International Superhits,54
39,40,Into The Light,55
40,41,Meus Momentos,56
41,42,Minha História,57
42,43,MK III The Final Concerts [Disc 1],58
43,44,Physical Graffiti [Disc 1],22
44,45,Sambas De Enredo 2001,21
45,46,Supernatural,59
46,47,The Best of Ed Motta,37
47,48,The Essential Miles Davis [Disc 1],68
48,49,The Essential Miles Davis [Disc 2],68
49,50,The Final Concerts (Disc 2),58
50,51,Up An' Atom,69
51,52,Vinícius De Moraes - Sem Limite,70
52,53,Vozes do MPB,21
53,54,"Chronicle, Vol. 1",76
54,55,"Chronicle, Vol. 2",76
55,56,Cássia Eller - Coleção Sem Limite [Disc 2],77
56,57,Cássia Eller - Sem Limite [Disc 1],77
57,58,Come Taste The Band,58
58,59,Deep Purple In Rock,58
59,60,Fireball,58
60,61,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,58
61,62,Machine Head,58
62,63,Purpendicular,58
63,64,Slaves And Masters,58
64,65,Stormbringer,58
65,66,The Battle Rages On,58
66,67,Vault: Def Leppard's Greatest Hits,78
67,68,Outbreak,79
68,69,Djavan Ao Vivo - Vol. 02,80
69,70,Djavan Ao Vivo - Vol. 1,80
70,71,Elis Regina-Minha História,41
71,72,The Cream Of Clapton,81
72,73,Unplugged,81
73,74,Album Of The Year,82
74,75,Angel Dust,82
75,76,King For A Day Fool For A Lifetime,82
76,77,The Real Thing,82
77,78,Deixa Entrar,83
78,79,In Your Honor [Disc 1],84
79,80,In Your Honor [Disc 2],84
80,81,One By One,84
81,82,The Colour And The Shape,84
82,83,My Way: The Best Of Frank Sinatra [Disc 1],85
83,84,Roda De Funk,86
84,85,As Canções de Eu Tu Eles,27
85,86,Quanta Gente Veio Ver (Live),27
86,87,Quanta Gente Veio ver--Bônus De Carnaval,27
87,88,Faceless,87
88,89,American Idiot,54
89,90,Appetite for Destruction,88
90,91,Use Your Illusion I,88
91,92,Use Your Illusion II,88
92,93,Blue Moods,89
93,94,A Matter of Life and Death,90
94,95,A Real Dead One,90
95,96,A Real Live One,90
96,97,Brave New World,90
97,98,Dance Of Death,90
98,99,Fear Of The Dark,90
99,100,Iron Maiden,90
100,101,Killers,90
101,102,Live After Death,90
102,103,Live At Donington 1992 (Disc 1),90
103,104,Live At Donington 1992 (Disc 2),90
104,105,No Prayer For The Dying,90
105,106,Piece Of Mind,90
106,107,Powerslave,90
107,108,Rock In Rio [CD1],90
108,109,Rock In Rio [CD2],90
109,110,Seventh Son of a Seventh Son,90
110,111,Somewhere in Time,90
111,112,The Number of The Beast,90
112,113,The X Factor,90
113,114,Virtual XI,90
114,115,Sex Machine,91
115,116,Emergency On Planet Earth,92
116,117,Synkronized,92
117,118,The Return Of The Space Cowboy,92
118,119,Get Born,93
119,120,Are You Experienced?,94
120,121,Surfing with the Alien (Remastered),95
121,122,Jorge Ben Jor 25 Anos,46
122,123,Jota Quest-1995,96
123,124,Cafezinho,97
124,125,Living After Midnight,98
125,126,Unplugged [Live],52
126,127,BBC Sessions [Disc 2] [Live],22
127,128,Coda,22
128,129,Houses Of The Holy,22
129,130,In Through The Out Door,22
130,131,IV,22
131,132,Led Zeppelin I,22
132,133,Led Zeppelin II,22
133,134,Led Zeppelin III,22
134,135,Physical Graffiti [Disc 2],22
135,136,Presence,22
136,137,The Song Remains The Same (Disc 1),22
137,138,The Song Remains The Same (Disc 2),22
138,139,A TempestadeTempestade Ou O Livro Dos Dias,99
139,140,Mais Do Mesmo,99
140,141,Greatest Hits,100
141,142,Lulu Santos - RCA 100 Anos De Música - Álbum 01,101
142,143,Lulu Santos - RCA 100 Anos De Música - Álbum 02,101
143,144,Misplaced Childhood,102
144,145,Barulhinho Bom,103
145,146,Seek And Shall Find: More Of The Best (1963-1981),104
146,147,The Best Of Men At Work,105
147,148,Black Album,50
148,149,Garage Inc. (Disc 2),50
149,150,Kill 'Em All,50
150,151,Load,50
151,152,Master Of Puppets,50
152,153,ReLoad,50
153,154,Ride The Lightning,50
154,155,St. Anger,50
155,156,...And Justice For All,50
156,157,Miles Ahead,68
157,158,Milton Nascimento Ao Vivo,42
158,159,Minas,42
159,160,Ace Of Spades,106
160,161,Demorou...,108
161,162,Motley Crue Greatest Hits,109
162,163,From The Muddy Banks Of The Wishkah [Live],110
163,164,Nevermind,110
164,165,Compositores,111
165,166,Olodum,112
166,167,Acústico MTV,113
167,168,Arquivo II,113
168,169,Arquivo Os Paralamas Do Sucesso,113
169,170,Bark at the Moon (Remastered),114
170,171,Blizzard of Ozz,114
171,172,Diary of a Madman (Remastered),114
172,173,No More Tears (Remastered),114
173,174,Tribute,114
174,175,Walking Into Clarksdale,115
175,176,Original Soundtracks 1,116
176,177,The Beast Live,117
177,178,Live On Two Legs [Live],118
178,179,Pearl Jam,118
179,180,Riot Act,118
180,181,Ten,118
181,182,Vs.,118
182,183,Dark Side Of The Moon,120
183,184,Os Cães Ladram Mas A Caravana Não Pára,121
184,185,Greatest Hits I,51
185,186,News Of The World,51
186,187,Out Of Time,122
187,188,Green,124
188,189,New Adventures In Hi-Fi,124
189,190,The Best Of R.E.M.: The IRS Years,124
190,191,Cesta Básica,125
191,192,Raul Seixas,126
192,193,Blood Sugar Sex Magik,127
193,194,By The Way,127
194,195,Californication,127
195,196,Retrospective I (1974-1980),128
196,197,Santana - As Years Go By,59
197,198,Santana Live,59
198,199,Maquinarama,130
199,200,O Samba Poconé,130
200,201,Judas 0: B-Sides and Rarities,131
201,202,Rotten Apples: Greatest Hits,131
202,203,A-Sides,132
203,204,Morning Dance,53
204,205,In Step,133
205,206,Core,134
206,207,Mezmerize,135
207,208,[1997] Black Light Syndrome,136
208,209,Live [Disc 1],137
209,210,Live [Disc 2],137
210,211,The Singles,138
211,212,Beyond Good And Evil,139
212,213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",139
213,214,The Doors,140
214,215,The Police Greatest Hits,141
215,216,"Hot Rocks, 1964-1971 (Disc 1)",142
216,217,No Security,142
217,218,Voodoo Lounge,142
218,219,Tangents,143
219,220,Transmission,143
220,221,My Generation - The Very Best Of The Who,144
221,222,Serie Sem Limite (Disc 1),145
222,223,Serie Sem Limite (Disc 2),145
223,224,Acústico,146
224,225,Volume Dois,146
225,226,Battlestar Galactica: The Story So Far,147
226,227,"Battlestar Galactica, Season 3",147
227,228,"Heroes, Season 1",148
228,229,"Lost, Season 3",149
229,230,"Lost, Season 1",149
230,231,"Lost, Season 2",149
231,232,Achtung Baby,150
232,233,All That You Can't Leave Behind,150
233,234,B-Sides 1980-1990,150
234,235,How To Dismantle An Atomic Bomb,150
235,236,Pop,150
236,237,Rattle And Hum,150
237,238,The Best Of 1980-1990,150
238,239,War,150
239,240,Zooropa,150
240,241,UB40 The Best Of - Volume Two [UK],151
241,242,Diver Down,152
242,243,"The Best Of Van Halen, Vol. I",152
243,244,Van Halen,152
244,245,Van Halen III,152
245,246,Contraband,153
246,247,Vinicius De Moraes,72
247,248,Ao Vivo [IMPORT],155
248,249,"The Office, Season 1",156
249,250,"The Office, Season 2",156
250,251,"The Office, Season 3",156
251,252,Un-Led-Ed,157
252,253,"Battlestar Galactica (Classic), Season 1",158
253,254,Aquaman,159
254,255,Instant Karma: The Amnesty International Campaign to Save Darfur,150
255,256,Speak of the Devil,114
256,257,20th Century Masters - The Millennium Collection: The Best of Scorpions,179
257,258,House of Pain,180
258,259,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,36
259,260,Cake: B-Sides and Rarities,196
260,261,"LOST, Season 4",149
261,262,Quiet Songs,197
262,263,Muso Ko,198
263,264,Realize,199
264,265,Every Kind of Light,200
265,266,Duos II,201
266,267,Worlds,202
267,268,The Best of Beethoven,203
268,269,Temple of the Dog,204
269,270,Carry On,205
270,271,Revelations,8
271,272,Adorate Deum: Gregorian Chant from the Proper of the Mass,206
272,273,Allegri: Miserere,207
273,274,Pachelbel: Canon & Gigue,208
274,275,Vivaldi: The Four Seasons,209
275,276,Bach: Violin Concertos,210
276,277,Bach: Goldberg Variations,211
277,278,Bach: The Cello Suites,212
278,279,Handel: The Messiah (Highlights),213
279,280,The World of Classical Favourites,214
280,281,Sir Neville Marriner: A Celebration,215
281,282,Mozart: Wind Concertos,216
282,283,Haydn: Symphonies 99 - 104,217
283,284,Beethoven: Symhonies Nos. 5 & 6,218
284,285,A Soprano Inspired,219
285,286,Great Opera Choruses,220
286,287,Wagner: Favourite Overtures,221
287,288,"Fauré: Requiem, Ravel: Pavane & Others",222
288,289,Tchaikovsky: The Nutcracker,223
289,290,The Last Night of the Proms,224
290,291,Puccini: Madama Butterfly - Highlights,225
291,292,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",226
292,293,Pavarotti's Opera Made Easy,227
293,294,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,228
294,295,Carmina Burana,229
295,296,"A Copland Celebration, Vol. I",230
296,297,Bach: Toccata & Fugue in D Minor,231
297,298,Prokofiev: Symphony No.1,232
298,299,Scheherazade,233
299,300,Bach: The Brandenburg Concertos,234
300,301,Chopin: Piano Concertos Nos. 1 & 2,235
301,302,Mascagni: Cavalleria Rusticana,236
302,303,Sibelius: Finlandia,237
303,304,Beethoven Piano Sonatas: Moonlight & Pastorale,238
304,305,Great Recordings of the Century - Mahler: Das Lied von der Erde,240
305,306,Elgar: Cello Concerto & Vaughan Williams: Fantasias,241
306,307,"Adams, John: The Chairman Dances",242
307,308,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",243
308,309,Palestrina: Missa Papae Marcelli & Allegri: Miserere,244
309,310,Prokofiev: Romeo & Juliet,245
310,311,Strauss: Waltzes,226
311,312,Berlioz: Symphonie Fantastique,245
312,313,Bizet: Carmen Highlights,246
313,314,English Renaissance,247
314,315,Handel: Music for the Royal Fireworks (Original Version 1749),208
315,316,Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,248
316,317,Mozart Gala: Famous Arias,249
317,318,SCRIABIN: Vers la flamme,250
318,319,Armada: Music from the Courts of England and Spain,251
319,320,Mozart: Symphonies Nos. 40 & 41,248
320,321,Back to Black,252
321,322,Frank,252
322,323,Carried to Dust (Bonus Track Version),253
323,324,Beethoven: Symphony No. 6 'Pastoral' Etc.,254
324,325,Bartok: Violin & Viola Concertos,255
325,326,Mendelssohn: A Midsummer Night's Dream,256
326,327,Bach: Orchestral Suites Nos. 1 - 4,257
327,328,"Charpentier: Divertissements, Airs & Concerts",258
328,329,South American Getaway,259
329,330,Górecki: Symphony No. 3,260
330,331,Purcell: The Fairy Queen,261
331,332,The Ultimate Relexation Album,262
332,333,Purcell: Music for the Queen Mary,263
333,334,Weill: The Seven Deadly Sins,264
334,335,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",265
335,336,Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,248
336,337,"Szymanowski: Piano Works, Vol. 1",266
337,338,Nielsen: The Six Symphonies,267
338,339,Great Recordings of the Century: Paganini's 24 Caprices,268
339,340,Liszt - 12 Études D'Execution Transcendante,269
340,341,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",270
341,342,"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",271
342,343,Respighi:Pines of Rome,226
343,344,Schubert: The Late String Quartets & String Quintet (3 CD's),272
344,345,Monteverdi: L'Orfeo,273
345,346,Mozart: Chamber Music,274
346,347,Koyaanisqatsi (Soundtrack from the Motion Picture),275
