,artid,name
0,1,AC/DC
1,2,Accept
2,3,Aerosmith
3,4,Alanis Morissette
4,5,Alice In Chains
5,6,Antônio Carlos Jobim
6,7,Apocalyptica
7,8,Audioslave
8,9,BackBeat
9,10,Billy Cobham
10,11,Black Label Society
11,12,Black Sabbath
12,13,Body Count
13,14,Bruce Dickinson
14,15,Buddy Guy
15,16,Caetano Veloso
16,17,Chico Buarque
17,18,Chico Science & Nação Zumbi
18,19,Cidade Negra
19,20,Cláudio Zoli
20,21,Various Artists
21,22,Led Zeppelin
22,23,Frank Zappa & Captain Beefheart
23,24,Marcos Valle
24,25,Milton Nascimento & Bebeto
25,26,Azymuth
26,27,Gilberto Gil
27,28,João Gilberto
28,29,Bebel Gilberto
29,30,Jorge Vercilo
30,31,Baby Consuelo
31,32,Ney Matogrosso
32,33,Luiz Melodia
33,34,Nando Reis
34,35,Pedro Luís & A Parede
35,36,O Rappa
36,37,Ed Motta
37,38,Banda Black Rio
38,39,Fernanda Porto
39,40,Os Cariocas
40,41,Elis Regina
41,42,Milton Nascimento
42,43,A Cor Do Som
43,44,Kid Abelha
44,45,Sandra De Sá
45,46,Jorge Ben
46,47,Hermeto Pascoal
47,48,Barão Vermelho
48,49,"Edson, DJ Marky & DJ Patife Featuring Fernanda Porto"
49,50,Metallica
50,51,Queen
51,52,Kiss
52,53,Spyro Gyra
53,54,Green Day
54,55,David Coverdale
55,56,Gonzaguinha
56,57,Os Mutantes
57,58,Deep Purple
58,59,Santana
59,60,Santana Feat. Dave Matthews
60,61,Santana Feat. Everlast
61,62,Santana Feat. Rob Thomas
62,63,Santana Feat. Lauryn Hill & Cee-Lo
63,64,Santana Feat. The Project G&B
64,65,Santana Feat. Maná
65,66,Santana Feat. Eagle-Eye Cherry
66,67,Santana Feat. Eric Clapton
67,68,Miles Davis
68,69,Gene Krupa
69,70,Toquinho & Vinícius
70,71,Vinícius De Moraes & Baden Powell
71,72,Vinícius De Moraes
72,73,Vinícius E Qurteto Em Cy
73,74,Vinícius E Odette Lara
74,75,"Vinicius, Toquinho & Quarteto Em Cy"
75,76,Creedence Clearwater Revival
76,77,Cássia Eller
77,78,Def Leppard
78,79,Dennis Chambers
79,80,Djavan
80,81,Eric Clapton
81,82,Faith No More
82,83,Falamansa
83,84,Foo Fighters
84,85,Frank Sinatra
85,86,Funk Como Le Gusta
86,87,Godsmack
87,88,Guns N' Roses
88,89,Incognito
89,90,Iron Maiden
90,91,James Brown
91,92,Jamiroquai
92,93,JET
93,94,Jimi Hendrix
94,95,Joe Satriani
95,96,Jota Quest
96,97,João Suplicy
97,98,Judas Priest
98,99,Legião Urbana
99,100,Lenny Kravitz
100,101,Lulu Santos
101,102,Marillion
102,103,Marisa Monte
103,104,Marvin Gaye
104,105,Men At Work
105,106,Motörhead
106,107,Motörhead & Girlschool
107,108,Mônica Marianno
108,109,Mötley Crüe
109,110,Nirvana
110,111,O Terço
111,112,Olodum
112,113,Os Paralamas Do Sucesso
113,114,Ozzy Osbourne
114,115,Page & Plant
115,116,Passengers
116,117,Paul D'Ianno
117,118,Pearl Jam
118,119,Peter Tosh
119,120,Pink Floyd
120,121,Planet Hemp
121,122,R.E.M. Feat. Kate Pearson
122,123,R.E.M. Feat. KRS-One
123,124,R.E.M.
124,125,Raimundos
125,126,Raul Seixas
126,127,Red Hot Chili Peppers
127,128,Rush
128,129,Simply Red
129,130,Skank
130,131,Smashing Pumpkins
131,132,Soundgarden
132,133,Stevie Ray Vaughan & Double Trouble
133,134,Stone Temple Pilots
134,135,System Of A Down
135,136,"Terry Bozzio, Tony Levin & Steve Stevens"
136,137,The Black Crowes
137,138,The Clash
138,139,The Cult
139,140,The Doors
140,141,The Police
141,142,The Rolling Stones
142,143,The Tea Party
143,144,The Who
144,145,Tim Maia
145,146,Titãs
146,147,Battlestar Galactica
147,148,Heroes
148,149,Lost
149,150,U2
150,151,UB40
151,152,Van Halen
152,153,Velvet Revolver
153,154,Whitesnake
154,155,Zeca Pagodinho
155,156,The Office
156,157,Dread Zeppelin
157,158,Battlestar Galactica (Classic)
158,159,Aquaman
159,160,Christina Aguilera featuring BigElf
160,161,Aerosmith & Sierra Leone's Refugee Allstars
161,162,Los Lonely Boys
162,163,Corinne Bailey Rae
163,164,Dhani Harrison & Jakob Dylan
164,165,Jackson Browne
165,166,Avril Lavigne
166,167,Big & Rich
167,168,Youssou N'Dour
168,169,Black Eyed Peas
169,170,Jack Johnson
170,171,Ben Harper
171,172,Snow Patrol
172,173,Matisyahu
173,174,The Postal Service
174,175,Jaguares
175,176,The Flaming Lips
176,177,Jack's Mannequin & Mick Fleetwood
177,178,Regina Spektor
178,179,Scorpions
179,180,House Of Pain
180,181,Xis
181,182,Nega Gizza
182,183,Gustavo & Andres Veiga & Salazar
183,184,Rodox
184,185,Charlie Brown Jr.
185,186,Pedro Luís E A Parede
186,187,Los Hermanos
187,188,Mundo Livre S/A
188,189,Otto
189,190,Instituto
190,191,Nação Zumbi
191,192,DJ Dolores & Orchestra Santa Massa
192,193,Seu Jorge
193,194,Sabotage E Instituto
194,195,Stereo Maracana
195,196,Cake
196,197,Aisha Duo
197,198,Habib Koité and Bamada
198,199,Karsh Kale
199,200,The Posies
200,201,Luciana Souza/Romero Lubambo
201,202,Aaron Goldberg
202,203,Nicolaus Esterhazy Sinfonia
203,204,Temple of the Dog
204,205,Chris Cornell
205,206,Alberto Turco & Nova Schola Gregoriana
206,207,"Richard Marlow & The Choir of Trinity College, Cambridge"
207,208,English Concert & Trevor Pinnock
208,209,"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker"
209,210,"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer"
210,211,Wilhelm Kempff
211,212,Yo-Yo Ma
212,213,Scholars Baroque Ensemble
213,214,Academy of St. Martin in the Fields & Sir Neville Marriner
214,215,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner
215,216,"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer"
216,217,Royal Philharmonic Orchestra & Sir Thomas Beecham
217,218,Orchestre Révolutionnaire et Romantique & John Eliot Gardiner
218,219,"Britten Sinfonia, Ivor Bolton & Lesley Garrett"
219,220,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti"
220,221,Sir Georg Solti & Wiener Philharmoniker
221,222,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair"
222,223,London Symphony Orchestra & Sir Charles Mackerras
223,224,Barry Wordsworth & BBC Concert Orchestra
224,225,"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker"
225,226,Eugene Ormandy
226,227,Luciano Pavarotti
227,228,Leonard Bernstein & New York Philharmonic
228,229,Boston Symphony Orchestra & Seiji Ozawa
229,230,Aaron Copland & London Symphony Orchestra
230,231,Ton Koopman
231,232,Sergei Prokofiev & Yuri Temirkanov
232,233,Chicago Symphony Orchestra & Fritz Reiner
233,234,Orchestra of The Age of Enlightenment
234,235,"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra"
235,236,James Levine
236,237,Berliner Philharmoniker & Hans Rosbaud
237,238,Maurizio Pollini
238,239,"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett"
239,240,Gustav Mahler
240,241,"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos"
241,242,Edo de Waart & San Francisco Symphony
242,243,Antal Doráti & London Symphony Orchestra
243,244,Choir Of Westminster Abbey & Simon Preston
244,245,Michael Tilson Thomas & San Francisco Symphony
245,246,"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker"
246,247,The King's Singers
247,248,Berliner Philharmoniker & Herbert Von Karajan
248,249,"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker"
249,250,Christopher O'Riley
250,251,Fretwork
251,252,Amy Winehouse
252,253,Calexico
253,254,Otto Klemperer & Philharmonia Orchestra
254,255,Yehudi Menuhin
255,256,Philharmonia Orchestra & Sir Neville Marriner
256,257,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart"
257,258,Les Arts Florissants & William Christie
258,259,The 12 Cellists of The Berlin Philharmonic
259,260,Adrian Leaper & Doreen de Feis
260,261,"Roger Norrington, London Classical Players"
261,262,Charles Dutoit & L'Orchestre Symphonique de Montréal
262,263,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir"
263,264,Kent Nagano and Orchestre de l'Opéra de Lyon
264,265,Julian Bream
265,266,Martin Roscoe
266,267,Göteborgs Symfoniker & Neeme Järvi
267,268,Itzhak Perlman
268,269,Michele Campanella
269,270,Gerald Moore
270,271,"Mela Tenenbaum, Pro Musica Prague & Richard Kapp"
271,272,Emerson String Quartet
272,273,"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu"
273,274,Nash Ensemble
274,275,Philip Glass Ensemble
